"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID"
"01/07","Pays-Bas","R.  van Persie","in","Netherlands","Other","Arsenal","England",4.2,"100","1"
"14/07","Suisse","Johan Djourou","in","Switzerland","Other","Arsenal","England",0,"102","1"
"22/07","France","Mathieu Flamini","in","Marseille","France","Arsenal","England",2.3,"70","1"
"01/01","Côte d'Ivoire","Emmanuel Eboué","in","Belgium","Other","Arsenal","England",2.2,"103","1"
"22/05","Danemark","Martin Laursen","in","AC Milan","Italy","Aston Villa","England",4.2,"41","2"
"05/08","France","Mathieu Berson","in","Nantes","France","Aston Villa","England",2.3,"73","2"
"31/01","Cameroun","Djemba-Djemba","in","Man United","England","Aston Villa","England",2,"13","2"
"24/06","Angleterre","Julian Gray","in","Crystal Palace","England","Birmingham City","England",0,"8","3"
"01/07","Angleterre","Emile Heskey","in","Liverpool","England","Birmingham City","England",0,"11","3"
"09/07","Pays-Bas","Mario Melchiot","in","Chelsea","England","Birmingham City","England",0,"7","3"
"12/07","Danemark","J.  Grönkjaer","in","Chelsea","England","Birmingham City","England",3.3,"7","3"
"31/08","Trinité et Tobago","Dwight Yorke","in","Blackburn","England","Birmingham City","England",0.375,"4","3"
"27/08","Norvège","M. G.  Pedersen","in","Norway","Other","Blackburn","England",3,"110","4"
"04/01","Afrique du Sud","Aaron Mokoena","in","Belgium","Other","Blackburn","England",0,"103","4"
"06/01","Nouvelle-Zélande","Ryan Nelsen","in","United States","Other","Blackburn","England",0,"111","4"
"21/07","Pays de Galles","Gary Speed","in","Newcastle United","England","Bolton Wanderers","England",1.1,"15","5"
"15/08","Sénégal","El-Hadji Diouf","in","Liverpool","England","Bolton Wanderers","England",4.8,"11","5"
"31/01","France","Vincent Candela","in","AS Roma","Italy","Bolton Wanderers","England",0,"42","5"
"31/05","Danemark","S.  Andersen","in","Denmark","Other","Charlton","England",1,"112","6"
"02/07","Danemark","D.  Rommedahl","in","Netherlands","Other","Charlton","England",3.5,"100","6"
"10/07","Maroc","T.  El-Karkouri","in","Paris S-G","France","Charlton","England",0,"75","6"
"10/08","Angleterre","Danny Murphy","in","Liverpool","England","Charlton","England",3.3,"11","6"
"11/08","Angleterre","Francis Jeffers","in","Arsenal","England","Charlton","England",3.9,"1","6"
"07/06","Portugal","Paulo Ferreira","in","Portugal","Other","Chelsea","England",20,"106","7"
"01/07","République tchèque","Petr Cech","in","Rennes","France","Chelsea","England",13,"76","7"
"03/07","Côte d'Ivoire","Didier Drogba","in","Marseille","France","Chelsea","England",37,"70","7"
"12/07","Serbie","Mateja Kezman","in","Netherlands","Other","Chelsea","England",7.5,"100","7"
"21/07","Portugal","Tiago","in","Portugal","Other","Chelsea","England",15,"106","7"
"27/07","Portugal","R.  Carvalho","in","Portugal","Other","Chelsea","England",30,"106","7"
"03/08","Pays-Bas","Arjen Robben","in","Netherlands","Other","Chelsea","England",18.5,"100","7"
"06/01","République tchèque","Jiri Jarosik","in","Russia","Other","Chelsea","England",12,"113","7"
"12/07","Argentine","Julián Speroni","in","Scotland","Other","Crystal Palace","England",0.7377,"101","8"
"13/07","Finlande","Joonas Kolkka","in","M'gladbach","Germany","Crystal Palace","England",0.63,"86","8"
"12/08","Angleterre","Fitz Hall","in","Southampton","England","Crystal Palace","England",2.3,"18","8"
"30/09","Grèce","Vassilios Lakis","in","Greece","Other","Crystal Palace","England",0,"108","8"
"04/08","Australie","Eddy Bosnar","in","Austria","Other","Everton","England",0,"107","9"
"04/01","Angleterre","James Beattie","in","Southampton","England","Everton","England",9,"18","9"
"28/01","France","G.  Plessis","in","Lens","France","Everton","England",0,"67","9"
"18/07","Angleterre","Andy Cole","in","Blackburn","England","Fulham","England",0,"4","10"
"23/07","Danemark","Claus Jensen","in","Charlton","England","Fulham","England",1.9,"6","10"
"23/07","Canada","T.  Radzinski","in","Everton","England","Fulham","England",3,"9","10"
"27/07","Sénégal","Papa Bouba Diop","in","Lens","France","Fulham","England",9,"67","10"
"01/07","France","Djibril Cissé","in","Auxerre","France","Liverpool","England",20,"62","11"
"24/07","Espagne","Josemi","in","Málaga","Spain","Liverpool","England",3,"33","11"
"17/08","Espagne","Antonio Núñez","in","Real Madrid","Spain","Liverpool","England",0,"37","11"
"20/08","Espagne","Luis García","in","FC Barcelona","Spain","Liverpool","England",9,"27","11"
"05/01","Argentine","M.  Pellegrino","in","Valencia CF","Spain","Liverpool","England",0,"29","11"
"13/01","Espagne","F.  Morientes","in","Real Madrid","Spain","Liverpool","England",9.5,"37","11"
"21/06","Belgique","G.  De Vlieger","in","Netherlands","Other","Manchester City","England",0,"100","12"
"01/07","Angleterre","Nedum Onuoha","in","United States","Other","Manchester City","England",0,"111","12"
"01/07","Angleterre","Wright-Phillips","in","United States","Other","Manchester City","England",0,"111","12"
"25/08","Pays-Bas","R.  Waterreus","in","Netherlands","Other","Manchester City","England",0,"100","12"
"11/06","Argentine","Gabriel Heinze","in","Paris S-G","France","Man United","England",10,"75","13"
"01/07","Irlande","Liam Miller","in","Scotland","Other","Man United","England",0,"101","13"
"31/08","Angleterre","Wayne Rooney","in","Everton","England","Man United","England",37,"9","13"
"06/07","Pays-Bas","M.  Reiziger","in","FC Barcelona","Spain","Middlesbrough","England",0,"27","14"
"09/07","Pays-Bas","Hasselbaink","in","Chelsea","England","Middlesbrough","England",0,"7","14"
"23/07","Angleterre","Ray Parlour","in","Arsenal","England","Middlesbrough","England",0,"1","14"
"01/07","Pays-Bas","P.  Kluivert","in","FC Barcelona","Spain","Newcastle United","England",0,"27","15"
"27/07","Angleterre","Nicky Butt","in","Man United","England","Newcastle United","England",3.8,"13","15"
"10/08","Irlande","Stephen Carr","in","Tottenham","England","Newcastle United","England",3,"19","15"
"19/09","Norvège","Ronny Johnsen","in","Aston Villa","England","Newcastle United","England",0,"2","15"
"01/01","Nigeria","C.  Babayaro","in","Chelsea","England","Newcastle United","England",0,"7","15"
"01/01","France","J.-A. Boumsong","in","Scotland","Other","Newcastle United","England",12,"101","15"
"25/01","Sénégal","Amdy Faye","in","Portsmouth","England","Newcastle United","England",3,"17","15"
"02/06","Ecosse","Paul Gallacher","in","Scotland","Other","Norwich City","England",0,"101","16"
"22/07","Danemark","Thomas Helveg","in","Inter Milan","Italy","Norwich City","England",0,"49","16"
"05/08","Suède","Mattias Jonson","in","Denmark","Other","Norwich City","England",0,"112","16"
"20/08","Irlande","Gary Doherty","in","Tottenham","England","Norwich City","England",0,"19","16"
"31/01","Angleterre","Graham Stuart","in","Charlton","England","Norwich City","England",0,"6","16"
"26/05","Angleterre","Andy Griffin","in","Newcastle United","England","Portsmouth","England",0,"15","17"
"01/07","Angleterre","Jason Pearce","in","Charlton","England","Portsmouth","England",0,"6","17"
"12/07","Angleterre","David Unsworth","in","Everton","England","Portsmouth","England",0,"9","17"
"28/01","Grèce","K.  Chalkias","in","Greece","Other","Portsmouth","England",0,"108","17"
"28/01","Grèce","I.  Skopelitis","in","Greece","Other","Portsmouth","England",1.5,"108","17"
"08/06","Belgique","Jelle van Damme","in","Netherlands","Other","Southampton","England",3,"100","18"
"09/07","Angleterre","Peter Crouch","in","Aston Villa","England","Southampton","England",3,"2","18"
"31/08","Suède","A.  Jakobsson","in","Denmark","Other","Southampton","England",1.5,"112","18"
"04/01","Angleterre","Jamie Redknapp","in","Tottenham","England","Southampton","England",0,"19","18"
"17/01","Ecosse","Nigel Quashie","in","Portsmouth","England","Southampton","England",3,"17","18"
"31/01","France","Olivier Bernard","in","Newcastle United","England","Southampton","England",0,"15","18"
"09/07","Angleterre","Sean Davis","in","Fulham","England","Tottenham","England",0,"10","19"
"09/07","Portugal","Pedro Mendes","in","Portugal","Other","Tottenham","England",3.5,"106","19"
"30/07","Suède","Erik Edman","in","Netherlands","Other","Tottenham","England",0,"100","19"
"07/08","Cameroun","T.  Atouba","in","Switzerland","Other","Tottenham","England",4.5,"102","19"
"11/08","Maroc","N.  Naybet","in","Depor","Spain","Tottenham","England",0,"25","19"
"13/08","Portugal","Edson","in","Netherlands","Other","Tottenham","England",0,"100","19"
"24/08","France","Noé Pamarot","in","Nice","France","Tottenham","England",2.4,"74","19"
"31/08","Suisse","Reto Ziegler","in","Switzerland","Other","Tottenham","England",1,"102","19"
"03/06","Danemark","M.  Albrechtsen","in","Denmark","Other","WBA","England",3.7,"112","20"
"28/07","Angleterre","J.  Greening","in","Middlesbrough","England","WBA","England",1.8,"14","20"
"11/01","Angleterre","Kevin Campbell","in","Everton","England","WBA","England",0,"9","20"
"18/08","Espagne","Gaspar","in","Atlético Madrid","Spain","Albacete","Spain",0,"23","21"
"26/08","Espagne","Jaime","in","Hannover 96","Germany","Albacete","Spain",0,"89","21"
"01/01","Espagne","Ángel Pindado","in","Belgium","Other","Albacete","Spain",0,"103","21"
"14/01","Espagne","Santi","in","Atlético Madrid","Spain","Albacete","Spain",0,"23","21"
"31/01","Uruguay","Horacio Peralta","in","Cagliari","Italy","Albacete","Spain",0,"46","21"
"15/06","Argentine","Leo Franco","in","Mallorca","Spain","Atlético Madrid","Spain",0,"32","23"
"07/07","Espagne","Pablo Ibáñez","in","Albacete","Spain","Atlético Madrid","Spain",3.5,"21","23"
"08/07","Colombie","L. A.  Perea","in","Argentina","Other","Atlético Madrid","Spain",0,"105","23"
"18/07","Espagne","Antonio López","in","Osasuna","Spain","Atlético Madrid","Spain",0,"35","23"
"19/07","Uruguay","Marcelo Sosa","in","Russia","Other","Atlético Madrid","Spain",0,"113","23"
"27/01","Uruguay","Richard Núñez","in","Switzerland","Other","Atlético Madrid","Spain",0,"102","23"
"01/07","Espagne","Pablo Niño","in","Netherlands","Other","Real Betis","Spain",0,"100","24"
"13/07","Italie","P.  Castellini","in","Brescia","Italy","Real Betis","Spain",0,"45","24"
"27/07","Brésil","Ricardo Oliveira","in","Valencia CF","Spain","Real Betis","Spain",4,"29","24"
"31/01","Argentine","F.  Coloccini","in","AC Milan","Italy","Depor","Spain",4,"41","25"
"31/08","Espagne","J. E.  Amavisca","in","Depor","Spain","Espanyol","Spain",0,"25","26"
"22/06","Brésil","Belletti","in","Villarreal","Spain","FC Barcelona","Spain",4,"40","27"
"29/06","France","Ludovic Giuly","in","Monaco","France","FC Barcelona","Spain",8.5,"72","27"
"30/06","Suède","Henrik Larsson","in","Scotland","Other","FC Barcelona","Spain",0,"101","27"
"03/07","Cameroun","Samuel Eto'o","in","Mallorca","Spain","FC Barcelona","Spain",27,"32","27"
"06/07","Portugal","Deco","in","Portugal","Other","FC Barcelona","Spain",15,"106","27"
"29/07","Brésil","Edmílson","in","Lyon","France","FC Barcelona","Spain",8,"69","27"
"24/01","Italie","D.  Albertini","in","Atalanta","Italy","FC Barcelona","Spain",0,"43","27"
"28/01","Argentine","Maxi López","in","Argentina","Other","FC Barcelona","Spain",6.5,"105","27"
"29/06","Espagne","Carlos Aranda","in","Albacete","Spain","Sevilla FC","Spain",0.725,"21","28"
"01/07","Espagne","Jordi López","in","Real Madrid","Spain","Sevilla FC","Spain",0,"37","28"
"07/07","Brésil","Renato","in","Brazil","Other","Sevilla FC","Spain",0,"99","28"
"21/01","Brésil","Adriano","in","Brazil","Other","Sevilla FC","Spain",2.1,"99","28"
"07/07","Italie","B.  Corradi","in","Lazio","Italy","Valencia CF","Spain",10,"51","29"
"07/07","Italie","Stefano Fiore","in","Lazio","Italy","Valencia CF","Spain",8,"51","29"
"20/07","Italie","Marco Di Vaio","in","Juventus","Italy","Valencia CF","Spain",10.5,"50","29"
"21/07","Italie","E.  Moretti","in","Bologna","Italy","Valencia CF","Spain",0,"44","29"
"27/07","Portugal","Marco Caneira","in","Bordeaux","France","Valencia CF","Spain",2,"64","29"
"01/07","Cameroun","Daniel Kome","in","Numancia","Spain","Getafe","Spain",0,"34","30"
"30/07","Espagne","Riki","in","Real Madrid","Spain","Getafe","Spain",0.3,"37","30"
"01/07","Espagne","J. A.  Culebras","in","Numancia","Spain","Levante","Spain",0,"34","31"
"02/07","Suède","Johan Mjällby","in","Scotland","Other","Levante","Spain",0,"101","31"
"16/08","Bulgarie","V.  Manchev","in","Lille","France","Levante","Spain",2.2,"68","31"
"30/06","Suisse","Patrick Müller","in","Lyon","France","Mallorca","Spain",0,"69","32"
"18/07","Venezuela","Juan Arango","in","Mexico","Other","Mallorca","Spain",0,"109","32"
"21/07","Espagne","Marcos Vales","in","Sevilla FC","Spain","Mallorca","Spain",0,"28","32"
"27/08","Espagne","S.  Ballesteros","in","Villarreal","Spain","Mallorca","Spain",1,"40","32"
"01/01","Brésil","Felipe Melo","in","Brazil","Other","Mallorca","Spain",0,"99","32"
"12/01","Italie","Mark Iuliano","in","Juventus","Italy","Mallorca","Spain",0,"50","32"
"26/08","Costa Rica","Paulo Wanchope","in","Manchester City","England","Málaga","Spain",0.745,"12","33"
"31/01","Brésil","Fernando Baiano","in","Brazil","Other","Málaga","Spain",0,"99","33"
"01/07","Espagne","Juanma","in","Atlético Madrid","Spain","Numancia","Spain",0,"23","34"
"01/07","Espagne","César Palacios","in","Osasuna","Spain","Numancia","Spain",0,"35","34"
"27/08","Argentine","Aldo Osorio","in","Argentina","Other","Numancia","Spain",0,"105","34"
"08/09","Grèce","Kostas Kiassos","in","Greece","Other","Numancia","Spain",0,"108","34"
"06/07","France","L.  Delporte","in","Albacete","Spain","Osasuna","Spain",0,"21","35"
"29/05","Maroc","Walid Regragui","in","AC Ajaccio","France","Racing Santander","Spain",0,"61","36"
"01/07","Italie","A.  Pierini","in","Udinese","Italy","Racing Santander","Spain",0,"60","36"
"26/07","Espagne","David Aganzo","in","Levante","Spain","Racing Santander","Spain",0,"31","36"
"01/01","Mexique","Gerardo Torrado","in","Sevilla FC","Spain","Racing Santander","Spain",0,"28","36"
"20/01","Brésil","Argel","in","Portugal","Other","Racing Santander","Spain",0,"106","36"
"01/07","Argentine","Walter Samuel","in","AS Roma","Italy","Real Madrid","Spain",27,"42","37"
"14/08","Angleterre","Michael Owen","in","Liverpool","England","Real Madrid","Spain",12,"11","37"
"20/08","Angleterre","J.  Woodgate","in","Newcastle United","England","Real Madrid","Spain",20,"15","37"
"14/01","Danemark","Thomas Gravesen","in","Everton","England","Real Madrid","Spain",3.8,"9","37"
"14/07","Espagne","Luis García","in","Numancia","Spain","Real Zaragoza","Spain",0,"34","38"
"05/08","Espagne","Javi Moreno","in","Atlético Madrid","Spain","Real Zaragoza","Spain",0,"23","38"
"31/05","France","J.  Bréchet","in","Inter Milan","Italy","Real Sociedad","Spain",1.5,"49","39"
"01/07","Espagne","Gari Uranga","in","Getafe","Spain","Real Sociedad","Spain",0,"30","39"
"08/07","Espagne","Mikel Arteta","in","Scotland","Other","Real Sociedad","Spain",4,"101","39"
"31/08","Brésil","Rossato","in","Portugal","Other","Real Sociedad","Spain",0,"106","39"
"11/06","Argentine","G.  Rodríguez","in","Argentina","Other","Villarreal","Spain",0,"105","40"
"19/06","Mozambique","Armando Sá","in","Portugal","Other","Villarreal","Spain",0,"106","40"
"20/08","Uruguay","Diego Forlán","in","Man United","England","Villarreal","Spain",3.2,"13","40"
"04/11","Argentine","J. P.  Sorín","in","Brazil","Other","Villarreal","Spain",0,"99","40"
"01/12","Argentine","Lucho Figueroa","in","Mexico","Other","Villarreal","Spain",0,"109","40"
"01/07","France","Vikash Dhorasoo","in","Lyon","France","AC Milan","Italy",0,"69","41"
"01/07","Pays-Bas","Jaap Stam","in","Lazio","Italy","AC Milan","Italy",0,"51","41"
"17/06","France","Philippe Mexès","in","Auxerre","France","AS Roma","Italy",0,"62","42"
"30/07","Italie","Matteo Ferrari","in","Parma","Italy","AS Roma","Italy",0,"56","42"
"03/08","Italie","Simone Perrotta","in","Chievo Verona","Italy","AS Roma","Italy",7.2,"47","42"
"31/08","Egypte","Mido","in","Marseille","France","AS Roma","Italy",6,"70","42"
"04/07","Italie","Luigi Sala","in","Chievo Verona","Italy","Atalanta","Italy",0,"47","43"
"21/07","Italie","D.  Albertini","in","Lazio","Italy","Atalanta","Italy",0,"51","43"
"13/01","Brésil","Adriano","in","Palermo","Italy","Atalanta","Italy",0,"55","43"
"28/01","Italie","Biagio Pagano","in","Sampdoria","Italy","Atalanta","Italy",0,"58","43"
"30/06","Roumanie","V.  Nastase","in","Palermo","Italy","Bologna","Italy",0,"55","44"
"01/07","Italie","Federico Giunti","in","Turkey","Other","Bologna","Italy",0,"104","44"
"01/07","Italie","Fabio Petruzzi","in","Brescia","Italy","Bologna","Italy",0,"45","44"
"01/07","Serbie","Vlado Smit","in","Atalanta","Italy","Bologna","Italy",0,"43","44"
"01/07","Italie","Stefano Torrisi","in","Reggina","Italy","Bologna","Italy",0,"57","44"
"16/07","Grèce","T.  Zagorakis","in","Greece","Other","Bologna","Italy",0,"108","44"
"27/07","Suisse","F.  Zambrella","in","Switzerland","Other","Brescia","Italy",0,"102","45"
"24/08","Argentine","Matías Almeyda","in","Argentina","Other","Brescia","Italy",0,"105","45"
"25/08","Cameroun","Pierre Womé","in","Espanyol","Spain","Brescia","Italy",0,"26","45"
"26/08","Italie","Daniele Adani","in","Inter Milan","Italy","Brescia","Italy",1.5,"49","45"
"27/01","Italie","M.  Delvecchio","in","AS Roma","Italy","Brescia","Italy",0,"42","45"
"01/07","Uruguay","Horacio Peralta","in","Inter Milan","Italy","Cagliari","Italy",0,"49","46"
"10/07","Grèce","Katergiannakis","in","Greece","Other","Cagliari","Italy",0,"108","46"
"31/01","Italie","A.  Budel","in","Parma","Italy","Cagliari","Italy",0,"56","46"
"16/08","Italie","Matteo Brighi","in","Brescia","Italy","Chievo Verona","Italy",0,"45","47"
"01/07","Italie","Dario Dainelli","in","Brescia","Italy","Fiorentina","Italy",5.5,"45","48"
"01/07","Uruguay","Gianni Guigou","in","Siena","Italy","Fiorentina","Italy",0,"59","48"
"01/07","Italie","C.  Lupatelli","in","AS Roma","Italy","Fiorentina","Italy",0,"42","48"
"18/07","Japon","H.  Nakata","in","Bologna","Italy","Fiorentina","Italy",0,"44","48"
"30/08","Danemark","M.  Jorgensen","in","Udinese","Italy","Fiorentina","Italy",0,"60","48"
"31/08","Italie","F.  Miccoli","in","Juventus","Italy","Fiorentina","Italy",7,"50","48"
"30/01","Italie","G.  Pazzini","in","Atalanta","Italy","Fiorentina","Italy",6.5,"43","48"
"31/01","Bulgarie","Valéri Bojinov","in","Lecce","Italy","Fiorentina","Italy",14,"52","48"
"31/01","Italie","Marco Donadel","in","Sampdoria","Italy","Fiorentina","Italy",0,"58","48"
"01/06","Italie","G.  Favalli","in","Lazio","Italy","Inter Milan","Italy",0,"51","49"
"03/06","Argentine","J. S.  Verón","in","Chelsea","England","Inter Milan","Italy",0,"7","49"
"02/07","Argentine","E.  Cambiasso","in","Real Madrid","Spain","Inter Milan","Italy",0,"37","49"
"07/07","Argentine","N.  Burdisso","in","Argentina","Other","Inter Milan","Italy",0,"105","49"
"07/07","Pays-Bas","Edgar Davids","in","Juventus","Italy","Inter Milan","Italy",0,"50","49"
"08/07","Grèce","Lambros Choutos","in","Greece","Other","Inter Milan","Italy",0,"108","49"
"30/07","Serbie","S.  Mihajlovic","in","Lazio","Italy","Inter Milan","Italy",0,"51","49"
"31/08","Uruguay","Fabián Carini","in","Belgium","Other","Inter Milan","Italy",0,"103","49"
"19/12","Brésil","Júlio César","in","Brazil","Other","Inter Milan","Italy",0,"99","49"
"01/07","France","Olivier Kapo","in","Auxerre","France","Juventus","Italy",0,"62","50"
"01/07","France","Jonathan Zebina","in","AS Roma","Italy","Juventus","Italy",0,"42","50"
"27/07","Brésil","Émerson","in","AS Roma","Italy","Juventus","Italy",0,"42","50"
"31/08","Italie","Fabio Cannavaro","in","Inter Milan","Italy","Juventus","Italy",9,"49","50"
"31/08","Suède","Z.  Ibrahimovic","in","Netherlands","Other","Juventus","Italy",16,"100","50"
"10/08","Italie","Paolo Di Canio","in","Charlton","England","Lazio","Italy",0,"6","51"
"31/08","Argentine","González","in","Argentina","Other","Lazio","Italy",0,"105","51"
"31/08","Argentine","Braian Robert","in","Argentina","Other","Lazio","Italy",0,"105","51"
"31/08","Argentine","L.  Talamonti","in","Argentina","Other","Lazio","Italy",0,"105","51"
"22/09","Argentine","Matías Lequi","in","Atlético Madrid","Spain","Lazio","Italy",0,"23","51"
"01/01","Italie","Fabio Bazzani","in","Sampdoria","Italy","Lazio","Italy",0,"58","51"
"31/08","Italie","Alex Pinardi","in","Atalanta","Italy","Lecce","Italy",0,"43","52"
"14/01","Brésil","Angelo","in","Brazil","Other","Lecce","Italy",0,"99","52"
"31/01","Chili","Jaime Valdes","in","Fiorentina","Italy","Lecce","Italy",0,"48","52"
"31/08","Italie","A.  Lucarelli","in","Fiorentina","Italy","Livorno","Italy",0,"48","53"
"01/09","Ghana","Emmanuel Osei","in","Turkey","Other","Livorno","Italy",0,"104","53"
"27/01","Brésil","Paulinho","in","Brazil","Other","Livorno","Italy",0,"99","53"
"29/06","Japon","A.  Yanagisawa","in","Sampdoria","Italy","Messina","Italy",0,"58","54"
"01/07","Italie","A.  Cucciari","in","Siena","Italy","Messina","Italy",0,"59","54"
"01/07","Grèce","P.  Gonias","in","Greece","Other","Messina","Italy",0,"108","54"
"09/07","Italie","Mirko Conte","in","Sampdoria","Italy","Messina","Italy",0,"58","54"
"12/07","Serbie","Ivica Iliev","in","Serbia","Other","Messina","Italy",0,"114","54"
"14/07","Grèce","Eleftheropoulos","in","Greece","Other","Messina","Italy",0,"108","54"
"15/07","Brésil","Rafael","in","Brazil","Other","Messina","Italy",0,"99","54"
"01/06","Brésil","Adriano","in","Brazil","Other","Palermo","Italy",0,"99","55"
"30/06","Italie","C.  Zaccardo","in","Bologna","Italy","Palermo","Italy",0.68,"44","55"
"01/07","Argentine","M.  González","in","Argentina","Other","Palermo","Italy",0,"105","55"
"01/07","Italie","Stefano Morrone","in","Chievo Verona","Italy","Palermo","Italy",0,"47","55"
"01/07","Italie","Generoso Rossi","in","Siena","Italy","Palermo","Italy",0,"59","55"
"06/07","Argentine","Ernesto Farías","in","Argentina","Other","Palermo","Italy",0,"105","55"
"16/07","Italie","Simone Barone","in","Parma","Italy","Palermo","Italy",0,"56","55"
"20/07","Italie","Andrea Barzagli","in","Chievo Verona","Italy","Palermo","Italy",0,"47","55"
"01/07","Italie","Daniele Dessena","in","Brescia","Italy","Parma","Italy",0,"45","56"
"11/08","Brésil","Fábio Simplício","in","Brazil","Other","Parma","Italy",0,"99","56"
"25/08","Italie","Gianluca Berti","in","Palermo","Italy","Parma","Italy",0,"55","56"
"01/01","Italie","S.  Bettarini","in","Sampdoria","Italy","Parma","Italy",0,"58","56"
"01/07","Italie","Juri Cannarsa","in","Livorno","Italy","Reggina","Italy",0,"53","57"
"01/07","Italie","Nicola Pavarini","in","Livorno","Italy","Reggina","Italy",0,"53","57"
"15/07","Portugal","Ricardo Esteves","in","Portugal","Other","Reggina","Italy",0,"106","57"
"01/01","Russie","V.  Budyanskiy","in","Juventus","Italy","Reggina","Italy",0,"50","57"
"18/05","Italie","Max Tonetto","in","Lecce","Italy","Sampdoria","Italy",0,"52","58"
"06/06","Italie","Marco Pisano","in","Brescia","Italy","Sampdoria","Italy",0,"45","58"
"17/06","Bélarus","Vitali Kutuzov","in","AC Milan","Italy","Sampdoria","Italy",1.5,"41","58"
"09/07","Italie","M.  Castellini","in","Parma","Italy","Sampdoria","Italy",0.8,"56","58"
"09/08","Italie","Fausto Rossini","in","Bologna","Italy","Sampdoria","Italy",0,"44","58"
"01/01","Italie","A.  Gasbarroni","in","Palermo","Italy","Sampdoria","Italy",0,"55","58"
"01/07","Italie","A.  Camorani","in","Fiorentina","Italy","Siena","Italy",0,"48","59"
"01/07","Italie","D.  Di Donato","in","Palermo","Italy","Siena","Italy",0,"55","59"
"07/07","Italie","G.  Falsini","in","Reggina","Italy","Siena","Italy",0,"57","59"
"08/07","Italie","M.  Graffiedi","in","Fiorentina","Italy","Siena","Italy",0,"48","59"
"31/01","Brésil","Alberto","in","Udinese","Italy","Siena","Italy",0,"60","59"
"01/07","Italie","Stefano Mauri","in","Brescia","Italy","Udinese","Italy",0,"45","60"
"01/07","Argentine","F.  Tissone","in","Argentina","Other","Udinese","Italy",0,"105","60"
"31/01","Brésil","Gustavo","in","Brazil","Other","Udinese","Italy",0,"99","60"
"02/06","Brésil","André Luiz","in","Brazil","Other","AC Ajaccio","France",0,"99","61"
"03/06","Brésil","Marcelinho Carioca","in","Brazil","Other","AC Ajaccio","France",0,"99","61"
"05/06","Brésil","M.  de Faria","in","Mexico","Other","AC Ajaccio","France",0,"109","61"
"19/06","Portugal","Gaspar","in","Portugal","Other","AC Ajaccio","France",0,"106","61"
"05/08","Brésil","Lucas Pereira","in","Brazil","Other","AC Ajaccio","France",0,"99","61"
"24/08","France","S.  Porato","in","Monaco","France","AC Ajaccio","France",0,"72","61"
"24/05","Belgique","Luigi Pieroni","in","Belgium","Other","Auxerre","France",1.5,"103","62"
"15/07","France","Benoît Cheyrou","in","Lille","France","Auxerre","France",0,"68","62"
"24/06","France","Tony Vairelles","in","Rennes","France","Bastia","France",0,"76","63"
"22/01","Suisse","Bernt Haas","in","WBA","England","Bastia","France",0,"20","63"
"24/01","France","Stéphane Ziani","in","Switzerland","Other","Bastia","France",0,"102","63"
"30/01","France","C.  Karembeu","in","Switzerland","Other","Bastia","France",0,"102","63"
"24/05","France","L.  Laslandes","in","Nice","France","Bordeaux","France",0,"74","64"
