"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID"
"18/06","Brésil","Thiago Ribeiro","in","Brazil","Other","Bordeaux","France",0,"99","64"
"26/07","Grèce","Michalis Kapsis","in","Greece","Other","Bordeaux","France",0.5,"108","64"
"28/07","France","Cyril Rool","in","Lens","France","Bordeaux","France",0,"67","64"
"10/06","France","F.  Danjou","in","AC Ajaccio","France","Caen","France",0,"61","65"
"22/06","Belgique","Grégory Dufer","in","Belgium","Other","Caen","France",1,"103","65"
"24/06","Sénégal","Ibrahima Faye","in","Belgium","Other","Caen","France",0,"103","65"
"24/07","Belgique","Steve Dugardein","in","Belgium","Other","Caen","France",0,"103","65"
"22/01","Serbie","Igor Matic","in","Serbia","Other","Caen","France",0,"114","65"
"01/02","Cameroun","M.  Idrissou","in","Hannover 96","Germany","Caen","France",0,"89","65"
"25/06","France","G.  Forschelet","in","Switzerland","Other","Istres","France",0,"102","66"
"01/07","Serbie","Dejan Ilic","in","Serbia","Other","Istres","France",0,"114","66"
"19/07","France","Florian Maurice","in","Bastia","France","Istres","France",0,"63","66"
"30/08","Tunisie","Adel Chedli","in","Sochaux","France","Istres","France",0,"78","66"
"09/01","Brésil","Leandro Amaral","in","Brazil","Other","Istres","France",0,"99","66"
"09/01","France","S.  Perez","in","Marseille","France","Istres","France",0,"70","66"
"18/01","Côte d'Ivoire","I.  Bakayoko","in","Osasuna","Spain","Istres","France",0,"35","66"
"11/06","France","Eric Carrière","in","Lyon","France","Lens","France",0,"69","67"
"28/06","France","Nicolas Gillet","in","Nantes","France","Lens","France",0,"73","67"
"28/06","Brésil","Vitorino Hilton","in","Bastia","France","Lens","France",0,"63","67"
"29/01","Brésil","Jussiê","in","Brazil","Other","Lens","France",3.5,"99","67"
"07/06","France","Nicolas Raynier","in","Monaco","France","Lille","France",0,"72","68"
"07/06","Sénégal","Tony Sylva","in","Monaco","France","Lille","France",0,"72","68"
"29/06","Grèce","S.  Tavlaridis","in","Arsenal","England","Lille","France",0,"1","68"
"30/07","Serbie","M.  Vitakic","in","Serbia","Other","Lille","France",0,"114","68"
"01/08","Brésil","Rafael Schmitz","in","Russia","Other","Lille","France",0,"113","68"
"31/08","Nigeria","P.  Odemwingie","in","Belgium","Other","Lille","France",0.65,"103","68"
"07/06","France","Eric Abidal","in","Lille","France","Lyon","France",8.5,"68","69"
"07/06","France","P.-A. Frau","in","Sochaux","France","Lyon","France",8.5,"78","69"
"06/08","Sénégal","Lamine Diatta","in","Rennes","France","Lyon","France",0,"76","69"
"23/08","Brésil","Cris","in","Brazil","Other","Lyon","France",3.5,"99","69"
"30/08","Brésil","Nilmar","in","Brazil","Other","Lyon","France",5.8,"99","69"
"31/08","France","Sylvain Wiltord","in","Arsenal","England","Lyon","France",0,"1","69"
"29/06","France","Fréderic Déhu","in","Paris S-G","France","Marseille","France",0,"75","70"
"29/06","France","B.  Pedretti","in","Sochaux","France","Marseille","France",5,"78","70"
"26/07","France","B.  Lizarazu","in","Bayern Munich","Germany","Marseille","France",0,"83","70"
"29/07","Brésil","Eduardo Costa","in","Bordeaux","France","Marseille","France",6,"64","70"
"30/07","France","P.  Luyindula","in","Lyon","France","Marseille","France",12,"69","70"
"31/08","France","F.  Fiorèse","in","Paris S-G","France","Marseille","France",3,"75","70"
"02/06","France","C.  Avezac","in","Toulouse FC","France","Metz","France",0,"80","71"
"25/06","Cameroun","Hervé Tum","in","Switzerland","Other","Metz","France",0,"102","71"
"27/06","France","G.  Wimbée","in","Lille","France","Metz","France",0,"68","71"
"01/07","Belgique","Stéphane Thys","in","Belgium","Other","Metz","France",0,"103","71"
"12/06","Brésil","Maicon","in","Brazil","Other","Monaco","France",3,"99","72"
"24/06","France","F.  Modesto","in","Cagliari","Italy","Monaco","France",0,"46","72"
"16/07","Uruguay","J.  Chevantón","in","Lecce","Italy","Monaco","France",10,"52","72"
"21/07","Sierra Léone","Mohamed Kallon","in","Inter Milan","Italy","Monaco","France",4,"49","72"
"16/05","France","G.  Warmuz","in","Dortmund","Germany","Monaco","France",0,"85","72"
"09/06","Colombie","A.  Viveros","in","Portugal","Other","Nantes","France",0,"106","73"
"14/07","Mali","M.  Bagayoko","in","AC Ajaccio","France","Nantes","France",0,"61","73"
"22/07","Roumanie","Florin Bratu","in","Turkey","Other","Nantes","France",3,"104","73"
"13/07","Tahiti","Marama Vahirua","in","Nantes","France","Nice","France",0.5,"73","74"
"31/07","Nigeria","Victor Agali","in","Schalke 04","Germany","Nice","France",0,"95","74"
"24/08","France","Florent Balmont","in","Lyon","France","Nice","France",1.5,"69","74"
"25/08","France","F.  Grenet","in","Rennes","France","Nice","France",0,"76","74"
"30/08","Belgique","R.  Bisconti","in","Belgium","Other","Nice","France",0,"103","74"
"31/01","France","Martin Djetou","in","Fulham","England","Nice","France",0,"10","74"
"03/06","France","S.  Pichot","in","Lille","France","Paris S-G","France",0,"68","75"
"25/06","Cameroun","J.-H. Ateba","in","Nantes","France","Paris S-G","France",0,"73","75"
"28/06","France","Jérôme Rothen","in","Monaco","France","Paris S-G","France",10,"72","75"
"28/06","Colombie","Mario Yepes","in","Nantes","France","Paris S-G","France",10,"73","75"
"01/07","France","Sylvain Armand","in","Nantes","France","Paris S-G","France",5,"73","75"
"31/07","Bosnie-Herzégovine","Vedad Ibisevic","in","United States","Other","Paris S-G","France",0,"111","75"
"16/08","Portugal","Hélder","in","Portugal","Other","Paris S-G","France",0,"106","75"
"31/08","Martinique","C.-E. Coridon","in","Lens","France","Paris S-G","France",0,"67","75"
"25/01","Russie","Sergey Semak","in","Russia","Other","Paris S-G","France",2.5,"113","75"
"01/07","Sénégal","Moussa Sow","in","Turkey","Other","Rennes","France",0,"104","76"
"03/07","Brésil","Adaílton","in","Brazil","Other","Rennes","France",0,"99","76"
"23/07","Cameroun","Perrier Doumbé","in","Auxerre","France","Rennes","France",0,"62","76"
"22/06","Martinique","F.  Piquionne","in","Rennes","France","Saint-Etienne","France",3.5,"76","77"
"24/06","Côte d'Ivoire","Didier Zokora","in","Belgium","Other","Saint-Etienne","France",2,"103","77"
"03/07","France","Zoumana Camara","in","Lens","France","Saint-Etienne","France",0,"67","77"
"18/08","Guinée","P.  Feindouno","in","Bordeaux","France","Saint-Etienne","France",3,"64","77"
"19/01","Sénégal","Lamine Sakho","in","Marseille","France","Saint-Etienne","France",0,"70","77"
"01/06","France","Maxime Josse","in","Switzerland","Other","Sochaux","France",0,"102","78"
"01/07","France","Jérémy Ménez","in","Mexico","Other","Sochaux","France",0,"109","78"
"07/08","Brésil","Ilan","in","Brazil","Other","Sochaux","France",3,"99","78"
"19/08","France","Romain Pitau","in","Nice","France","Sochaux","France",0,"74","78"
"29/01","Togo","Mohamed Kader","in","Switzerland","Other","Sochaux","France",0,"102","78"
"24/06","Côte d'Ivoire","Arthur Boka","in","Belgium","Other","Strasbourg","France",1,"103","79"
"09/07","France","Mickaël Pagis","in","Sochaux","France","Strasbourg","France",0.5,"78","79"
"27/05","France","Pantxi Sirieix","in","Auxerre","France","Toulouse FC","France",0,"62","80"
"10/06","France","Daniel Moreira","in","Lens","France","Toulouse FC","France",0,"67","80"
"18/06","France","D.  Arribagé","in","Rennes","France","Toulouse FC","France",0,"76","80"
"02/06","Albanie","Klodian Duro","in","Turkey","Other","Bielefeld","Germany",0,"104","81"
"18/06","Croatie","Marijo Maric","in","Austria","Other","Bielefeld","Germany",0.15,"107","81"
"01/07","Afrique du Sud","Delron Buckley","in","Bochum","Germany","Bielefeld","Germany",0.25,"84","81"
"01/07","Brésil","Roger Bernardo","in","Brazil","Other","Bielefeld","Germany",0,"99","81"
"01/07","Allemagne","Markus Schuler","in","Hannover 96","Germany","Bielefeld","Germany",0,"89","81"
"05/07","Roumanie","C.  Raducanu","in","Espanyol","Spain","Bielefeld","Germany",0,"26","81"
"01/01","Allemagne","Heiner Backhaus","in","M'gladbach","Germany","Bielefeld","Germany",0,"86","81"
"01/01","Pologne","Tomasz Wisio","in","Austria","Other","Bielefeld","Germany",0,"107","81"
"11/06","Allemagne","Paul Freier","in","Bochum","Germany","Bayer Leverkusen","Germany",3.5,"84","82"
"01/07","Allemagne","Gonzalo Castro","in","Stuttgart","Germany","Bayer Leverkusen","Germany",0,"96","82"
"01/07","Pologne","Jacek Krzynowek","in","FC Nürnberg","Germany","Bayer Leverkusen","Germany",0,"94","82"
"08/07","Brésil","Roque Júnior","in","Siena","Italy","Bayer Leverkusen","Germany",0,"59","82"
"27/05","Brésil","Lúcio","in","Bayer Leverkusen","Germany","Bayern Munich","Germany",13,"82","83"
"01/07","Allemagne","Torsten Frings","in","Dortmund","Germany","Bayern Munich","Germany",9.3,"85","83"
"01/07","Iran","Vahid Hashemian","in","Bochum","Germany","Bayern Munich","Germany",2,"84","83"
"05/01","France","B.  Lizarazu","in","Marseille","France","Bayern Munich","Germany",0,"70","83"
"01/06","République tchèque","V.  Lokvenc","in","Kaiserslautern","Germany","Bochum","Germany",0,"92","84"
"01/07","Danemark","Tommy Bechmann","in","Denmark","Other","Bochum","Germany",1.5,"112","84"
"01/07","Allemagne","Claus Costa","in","Bayer Leverkusen","Germany","Bochum","Germany",0,"82","84"
"01/07","Slovénie","A.  Knavs","in","Kaiserslautern","Germany","Bochum","Germany",0,"92","84"
"01/07","Bosnie-Herzégovine","Z.  Misimovic","in","Bayern Munich","Germany","Bochum","Germany",0,"83","84"
"11/01","Danemark","P.  Skov-Jensen","in","Denmark","Other","Bochum","Germany",0,"112","84"
"15/06","Nigeria","Sunday Oliseh","in","Bochum","Germany","Dortmund","Germany",0,"84","85"
"18/01","Pologne","E.  Smolarek","in","Netherlands","Other","Dortmund","Germany",0,"100","85"
"05/06","Allemagne","Sead Ramovic","in","Wolfsburg","Germany","M'gladbach","Germany",0.2,"98","86"
"09/06","Allemagne","Christian Ziege","in","Tottenham","England","M'gladbach","Germany",0,"19","86"
"11/06","Belgique","van Kerckhoven","in","Schalke 04","Germany","M'gladbach","Germany",0,"95","86"
"01/07","Allemagne","Darius Kampa","in","FC Nürnberg","Germany","M'gladbach","Germany",0,"94","86"
"01/07","Allemagne","Oliver Neuville","in","Bayer Leverkusen","Germany","M'gladbach","Germany",0,"82","86"
"16/07","Serbie","Vladimir Ivic","in","Serbia","Other","M'gladbach","Germany",0,"114","86"
"13/12","Allemagne","Jörg Böhme","in","Schalke 04","Germany","M'gladbach","Germany",0,"95","86"
"01/01","Belgique","Bernd Thijs","in","Turkey","Other","M'gladbach","Germany",0.6,"104","86"
"06/01","Australie","Craig Moore","in","Scotland","Other","M'gladbach","Germany",0,"101","86"
"12/01","Belgique","Wesley Sonck","in","Netherlands","Other","M'gladbach","Germany",2.5,"100","86"
"15/01","Etats-Unis","Kasey Keller","in","Tottenham","England","M'gladbach","Germany",0,"19","86"
"20/01","Belgique","Filip Daems","in","Turkey","Other","M'gladbach","Germany",0,"104","86"
"30/01","Brésil","Élber","in","Lyon","France","M'gladbach","Germany",0,"69","86"
"01/01","Géorgie","Khizaneishvili","in","Russia","Other","Freiburg","Germany",0.8,"113","87"
"11/01","Pays-Bas","Samuel Koejoe","in","Austria","Other","Freiburg","Germany",0,"107","87"
"20/01","Autriche","Ibertsberger","in","Austria","Other","Freiburg","Germany",0,"107","87"
"01/07","Belgique","Emile Mpenza","in","Belgium","Other","Hamburger SV","Germany",2,"103","88"
"01/07","Belgique","D.  Van Buyten","in","Marseille","France","Hamburger SV","Germany",3.8,"70","88"
"30/08","Pays-Bas","K.  Boulahrouz","in","Netherlands","Other","Hamburger SV","Germany",0,"100","88"
"25/06","Brésil","Leandro","in","Switzerland","Other","Hannover 96","Germany",0.45,"102","89"
"28/06","Autriche","Roman Wallner","in","Austria","Other","Hannover 96","Germany",0.43,"107","89"
"01/07","Australie","Frank Juric","in","Bayer Leverkusen","Germany","Hannover 96","Germany",0,"82","89"
"06/07","Allemagne","Michael Tarnat","in","Manchester City","England","Hannover 96","Germany",0,"12","89"
"07/07","Portugal","Ricardo Sousa","in","Portugal","Other","Hannover 96","Germany",0.75,"106","89"
"01/07","Danemark","David Rasmussen","in","Denmark","Other","Hansa Rostock","Germany",0,"112","90"
"27/08","Suède","Marcus Allbäck","in","Aston Villa","England","Hansa Rostock","Germany",0,"2","90"
"09/06","Turquie","Y.  Bastürk","in","Bayer Leverkusen","Germany","Hertha Berlin","Germany",0,"82","91"
"28/06","Allemagne","Gerhard Tremmel","in","Hannover 96","Germany","Hertha Berlin","Germany",0,"89","91"
"02/07","Brésil","Gilberto","in","Brazil","Other","Hertha Berlin","Germany",1.5,"99","91"
"23/05","Allemagne","C.  Nerlinger","in","Scotland","Other","Kaiserslautern","Germany",0,"101","92"
"01/06","Albanie","Jurgen Gjasula","in","Freiburg","Germany","Kaiserslautern","Germany",0,"87","92"
"01/06","Allemagne","Jochen Seitz","in","Schalke 04","Germany","Kaiserslautern","Germany",0,"95","92"
"01/07","Allemagne","Carsten Jancker","in","Udinese","Italy","Kaiserslautern","Germany",0,"60","92"
"02/01","Autriche","Jürgen Macho","in","Austria","Other","Kaiserslautern","Germany",0,"107","92"
"06/01","Allemagne","Hanno Balitsch","in","Bayer Leverkusen","Germany","Mainz","Germany",0.5,"82","93"
"29/05","Allemagne","Markus Daun","in","Werder Bremen","Germany","FC Nürnberg","Germany",0,"97","94"
"01/06","Pologne","Tomasz Hajto","in","Schalke 04","Germany","FC Nürnberg","Germany",0,"95","94"
"01/07","Croatie","Ivica Banovic","in","Werder Bremen","Germany","FC Nürnberg","Germany",0,"97","94"
"01/07","Allemagne","Marcel Ketelaer","in","M'gladbach","Germany","FC Nürnberg","Germany",0,"86","94"
"14/07","Brésil","Leandro Tigrão","in","Brazil","Other","FC Nürnberg","Germany",0,"99","94"
"30/08","Suisse","M.  Cantaluppi","in","Switzerland","Other","FC Nürnberg","Germany",0.65,"102","94"
"02/06","Brésil","Lincoln","in","Kaiserslautern","Germany","Schalke 04","Germany",0.6,"92","95"
"15/06","Brésil","Marcelo Bordon","in","Stuttgart","Germany","Schalke 04","Germany",0,"96","95"
"01/07","Brésil","Ailton","in","Werder Bremen","Germany","Schalke 04","Germany",0,"97","95"
"01/07","Serbie","Mladen Krstajic","in","Werder Bremen","Germany","Schalke 04","Germany",0,"97","95"
"01/01","Allemagne","Mimoun Azaouagh","in","Mainz","Germany","Schalke 04","Germany",0,"93","95"
"01/07","France","M.  Delpierre","in","Lille","France","Stuttgart","Germany",0,"68","96"
"16/07","Allemagne","Markus Babbel","in","Liverpool","England","Stuttgart","Germany",0,"11","96"
"25/01","Brésil","Elson Falcão","in","Brazil","Other","Stuttgart","Germany",0,"99","96"
"01/07","Allemagne","F.  Fahrenhorst","in","Bochum","Germany","Werder Bremen","Germany",0,"84","97"
"01/07","Allemagne","Miroslav Klose","in","Kaiserslautern","Germany","Werder Bremen","Germany",5,"92","97"
"16/07","Brésil","Gustavo Nery","in","Brazil","Other","Werder Bremen","Germany",0,"99","97"
"19/07","Finlande","Petri Pasanen","in","Portsmouth","England","Werder Bremen","Germany",0.75,"17","97"
"04/06","Pays-Bas","Kevin Hofland","in","Netherlands","Other","Wolfsburg","Germany",0,"100","98"
"15/06","Argentine","Facundo Quiroga","in","Portugal","Other","Wolfsburg","Germany",1.5,"106","98"
"18/06","Allemagne","Thomas Brdaric","in","Hannover 96","Germany","Wolfsburg","Germany",1,"89","98"
"03/07","Bulgarie","Marian Hristov","in","Kaiserslautern","Germany","Wolfsburg","Germany",0,"92","98"
"01/01","Croatie","Tomislav Maric","in","M'gladbach","Germany","Wolfsburg","Germany",0,"86","98"
"01/07","Maroc","Hassan Kachloul","out","Aston Villa","England","Scotland","Other",0,"2","101"
"31/01","Ecosse","Barry Ferguson","out","Blackburn","England","Scotland","Other",6.8,"4","101"
"17/05","Angleterre","Steve Howey","out","Bolton Wanderers","England","United States","Other",0,"5","111"
"01/01","France","C.  Berthelin","out","Crystal Palace","England","Belgium","Other",0,"8","103"
"01/07","Ghana","Alex Nyarko","out","Everton","England","Norway","Other",0,"9","110"
"29/07","Suède","T.  Linderoth","out","Everton","England","Denmark","Other",0,"9","112"
"28/01","Suisse","S.  Henchoz","out","Liverpool","England","Scotland","Other",0,"11","101"
"01/07","Pays-Bas","Gerard Wiekens","out","Manchester City","England","Netherlands","Other",0,"12","100"
"16/07","Islande","Arni Arason","out","Manchester City","England","Norway","Other",0,"12","110"
"31/01","France","Nicolas Anelka","out","Manchester City","England","Turkey","Other",10.7,"12","104"
"22/04","Brésil","Ricardinho","out","Middlesbrough","England","Brazil","Other",0,"14","99"
"29/07","Ecosse","David Murphy","out","Middlesbrough","England","Scotland","Other",0,"14","101"
"10/08","Ecosse","Allan Johnston","out","Middlesbrough","England","Scotland","Other",0,"14","101"
"25/08","Brésil","Juninho Paulista","out","Middlesbrough","England","Scotland","Other",0,"14","101"
"18/07","Angleterre","Neil Barrett","out","Portsmouth","England","Scotland","Other",0,"17","101"
"30/11","Angleterre","Kevin Bond","out","Portsmouth","England","Southampton","England",0,"17","18"
"13/01","Pays-Bas","Harald Wapenaar","out","Portsmouth","England","Netherlands","Other",0,"17","100"
"28/01","Ecosse","Mark Burchill","out","Portsmouth","England","Scotland","Other",0,"17","101"
"09/07","Portugal","Hélder Postiga","out","Tottenham","England","Portugal","Other",7.5,"19","106"
"13/08","Canada","Lars Hirschfeld","out","Tottenham","England","Scotland","Other",0,"19","101"
"01/07","Danemark","Morten Skoubo","out","WBA","England","Denmark","Other",0,"20","112"
"01/07","Pays-Bas","Joost Volmer","out","WBA","England","Netherlands","Other",0,"20","100"
"01/07","Brésil","Fabiano","out","Albacete","Spain","Mexico","Other",0,"21","109"
"01/07","Argentine","Carlos Roa","out","Albacete","Spain","Argentina","Other",0,"21","105"
"01/07","Brésil","Rodrigo Fabri","out","Atlético Madrid","Spain","Brazil","Other",0,"23","99"
"05/07","Grèce","D.  Nikolaidis","out","Atlético Madrid","Spain","Greece","Other",0,"23","108"
"01/12","Argentine","Diego Simeone","out","Atlético Madrid","Spain","Argentina","Other",0,"23","105"
"01/07","Brésil","Djalminha","out","Depor","Spain","Mexico","Other",0,"25","109"
"01/07","Pays-Bas","Kevin Bobson","out","Espanyol","Spain","Netherlands","Other",0,"26","100"
"01/07","Turquie","Tayfun Korkut","out","Espanyol","Spain","Turkey","Other",0,"26","104"
"25/08","Côte d'Ivoire","Cyril Domoraud","out","Espanyol","Spain","Turkey","Other",0,"26","104"
"07/06","Pays-Bas","Philip Cocu","out","FC Barcelona","Spain","Netherlands","Other",0,"27","100"
"06/07","Portugal","R.  Quaresma","out","FC Barcelona","Spain","Portugal","Other",6,"27","106"
"01/07","Argentine","F.  Lussenhoff","out","Mallorca","Spain","Mexico","Other",0,"32","109"
"31/08","Pays-Bas","Arnold Bruggink","out","Mallorca","Spain","Netherlands","Other",0,"32","100"
"01/07","Uruguay","Diego Alonso","out","Málaga","Spain","Mexico","Other",0,"33","109"
"01/01","Espagne","X.  Azkargorta","out","Real Madrid","Spain","Mexico","Other",0,"37","109"
"02/08","Argentine","G.  Schürrer","out","Real Sociedad","Spain","Greece","Other",0,"39","108"
"01/07","Norvège","John Carew","out","AS Roma","Italy","Turkey","Other",0,"42","104"
"14/07","Brésil","Francisco Lima","out","AS Roma","Italy","Russia","Other",0,"42","113"
"31/01","Italie","R.  De Martino","out","AS Roma","Italy","Switzerland","Other",0,"42","102"
"01/07","Argentine","Guglielminpietro","out","Bologna","Italy","Argentina","Other",0,"44","105"
"01/07","Italie","G.  Signori","out","Bologna","Italy","Greece","Other",0,"44","108"
"01/07","Egypte","Hany Said","out","Fiorentina","Italy","Belgium","Other",0,"48","103"
"17/06","Turquie","Buruk Okan","out","Inter Milan","Italy","Turkey","Other",0,"49","104"
"13/07","Côte d'Ivoire","Arnaud Kouyo","out","Lecce","Italy","Belgium","Other",0,"52","103"
"26/06","Italie","G.  Chiellini","out","Livorno","Italy","Juventus","Italy",0,"53","50"
"14/07","République tchèque","Martin Jiránek","out","Reggina","Italy","Russia","Other",3.3,"57","113"
"01/07","Serbie","Nenad Sakic","out","Sampdoria","Italy","Serbia","Other",0,"58","114"
"01/07","Serbie","B.  Zivkovic","out","Sampdoria","Italy","Serbia","Other",0,"58","114"
"01/07","Brésil","Júnior","out","Siena","Italy","Brazil","Other",0,"59","99"
"01/07","Argentine","L.  Castromán","out","Udinese","Italy","Argentina","Other",0,"60","105"
"01/07","Paraguay","Diego Gavilán","out","Udinese","Italy","Brazil","Other",0,"60","99"
"01/07","Italie","Fabio Rossitto","out","Udinese","Italy","Belgium","Other",0,"60","103"
"01/07","Serbie","M.  Martinovic","out","AC Ajaccio","France","Serbia","Other",0,"61","114"
"01/07","France","S.  Maurel","out","AC Ajaccio","France","Portugal","Other",0,"61","106"
"06/08","Côte d'Ivoire","L.  Diabaté","out","AC Ajaccio","France","Belgium","Other",0,"61","103"
"01/07","France","J.-A. Boumsong","out","Auxerre","France","Scotland","Other",0,"62","101"
"20/01","Etats-Unis","Greg Vanney","out","Bastia","France","United States","Other",0,"63","111"
"20/06","France","Mathieu Beda","out","Bordeaux","France","Belgium","Other",0,"64","103"
"01/07","France","Daniel Deves","out","Bordeaux","France","Switzerland","Other",0,"64","102"
"01/07","Portugal","Paulo Costa","out","Bordeaux","France","Portugal","Other",0,"64","106"
"01/07","Brésil","Paulo Miranda","out","Bordeaux","France","Brazil","Other",0,"64","99"
"04/07","France","Hervé Alicarte","out","Bordeaux","France","Switzerland","Other",0,"64","102"
"27/08","Portugal","Bruno Basto","out","Bordeaux","France","Netherlands","Other",0,"64","100"
"01/07","Nigeria","Furo Iyenemi","out","Istres","France","Switzerland","Other",0,"66","102"
"01/07","Brésil","Leonardo Oliveira","out","Istres","France","Switzerland","Other",0,"66","102"
"02/07","France","X.  Gravelaine","out","Istres","France","Switzerland","Other",0,"66","102"
"11/07","Cameroun","Rigobert Song","out","Lens","France","Turkey","Other",1.5,"67","104"
"02/05","Chili","Hector Tapia","out","Lille","France","Brazil","Other",0,"68","99"
"15/05","Australie","Mile Sterjovski","out","Lille","France","Switzerland","Other",0,"68","102"
"01/07","Belgique","Eric Deflandre","out","Lyon","France","Belgium","Other",0,"69","103"
"09/07","République tchèque","S.  Vachousek","out","Marseille","France","Austria","Other",1.5,"70","107"
"17/07","France","M.  Dos Santos","out","Marseille","France","Portugal","Other",0,"70","106"
"01/07","France","Ludovic Butelle","out","Metz","France","Valencia CF","Spain",0,"71","29"
"31/01","France","Franck Ribéry","out","Metz","France","Turkey","Other",2.5,"71","104"
"01/07","Croatie","Dado Prso","out","Monaco","France","Scotland","Other",0,"72","101"
"01/07","Roumanie","Viorel Moldovan","out","Nantes","France","Switzerland","Other",0,"73","102"
"30/07","Brésil","Everson","out","Nice","France","Portugal","Other",1.2,"74","106"
"30/08","Belgique","P.  Léonard","out","Nice","France","Belgium","Other",0,"74","103"
"04/08","Portugal","Hugo Leal","out","Paris S-G","France","Portugal","Other",0,"75","106"
"24/05","France","Fabrice Ehret","out","Strasbourg","France","Belgium","Other",0,"79","103"
"10/06","Suède","Mikael Dorsin","out","Strasbourg","France","Norway","Other",0,"79","110"
"17/06","Brésil","Fernandão","out","Toulouse FC","France","Brazil","Other",0,"80","99"
"01/07","Pologne","Maciej Murawski","out","Bielefeld","Germany","Greece","Other",0,"81","108"
"01/10","Autriche","Zeljko Radovic","out","Bielefeld","Germany","Austria","Other",0,"81","107"
"31/03","Etats-Unis","Landon Donovan","out","Bayer Leverkusen","Germany","United States","Other",1,"82","111"
"01/07","Pays-Bas","Anton Vriesde","out","Bochum","Germany","Netherlands","Other",0,"84","100"
"20/06","Brésil","F.  Conceição","out","Dortmund","Germany","Turkey","Other",0,"85","104"
"26/04","Brésil","Evanílson","out","Dortmund","Germany","Brazil","Other",0,"85","99"
"01/07","Pays-Bas","Nico-Jan Hoogma","out","Hamburger SV","Germany","Netherlands","Other",0,"88","100"
"01/07","Allemagne","Marc Ziegler","out","Hannover 96","Germany","Austria","Other",0,"89","107"
"07/07","Brésil","Kléber","out","Hannover 96","Germany","Switzerland","Other",0.8,"89","102"
"01/01","Russie","Vladimir But","out","Hannover 96","Germany","Russia","Other",0,"89","113"
"06/01","Etats-Unis","Clint Mathis","out","Hannover 96","Germany","United States","Other",0,"89","111"
"25/06","Autriche","G.  Plassnegger","out","Hansa Rostock","Germany","Austria","Other",0.5,"90","107"
"02/07","Belgique","Bart Goor","out","Hertha Berlin","Germany","Netherlands","Other",0,"91","100"
"01/07","Belgique","Stijn Vreven","out","Kaiserslautern","Germany","Netherlands","Other",0,"92","100"
"09/07","Croatie","Nenad Bjelica","out","Kaiserslautern","Germany","Austria","Other",0,"92","107"
"01/07","Brésil","Rafael Santos","out","FC Nürnberg","Germany","Brazil","Other",0,"94","99"
"01/07","Etats-Unis","Tony Sanneh","out","FC Nürnberg","Germany","United States","Other",0,"94","111"
"09/08","Brésil","Jeronimo Baretto","out","FC Nürnberg","Germany","Turkey","Other",0,"94","104"
"05/07","Argentine","A.  Matellán","out","Schalke 04","Germany","Argentina","Other",0,"95","105"
"09/07","Autriche","Eduard Glieder","out","Schalke 04","Germany","Austria","Other",0,"95","107"
"01/07","Angola","Rui Marques","out","Stuttgart","Germany","Portugal","Other",0,"96","106"
"01/01","Grèce","A.  Charisteas","out","Werder Bremen","Germany","Netherlands","Other",4.9,"97","100"
"11/06","Argentine","P.  Quatrocchi","out","Wolfsburg","Germany","Mexico","Other",0,"98","109"
